Customer Number,Year,January,February,March,April,May,June,July,August,September,October,November,December,Total Forecast
121693,2026,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,195000,
123511,2026,10,10,10,10,10,10,10,10,10,10,10,10,
181978,2026,11,11,11,11,11,11,11,11,11,11,11,11,
181984,2026,12,12,12,12,12,12,12,12,12,12,12,12,
181989,2026,13,13,13,13,13,13,13,13,13,13,13,13,
181998,2026,14,14,14,14,14,14,14,14,14,14,14,14,
182007,2026,15,15,15,15,15,15,15,15,15,15,15,15,
182008,2026,16,16,16,16,16,16,16,16,16,16,16,16,
182030,2026,17,17,17,17,17,17,17,17,17,17,17,17,
182083,2026,18,18,18,18,18,18,18,18,18,18,18,18,
210681,2026,19,19,19,19,19,19,19,19,19,19,19,19,
210925,2026,20,20,20,20,20,20,20,20,20,20,20,20,
