Customer Id,Reason,Classification,Invoice Number,Currency,Amount,Has Iva,Comments
121693,LATE UPDATE,FINANCE PROMPT PAYMENT DISCOUNT (DPP),,MXN,1500,Y,texto de comentario
121693,ASSEMBLE,FINANCE OTHERS,,USD,2000,N,texto de comentario
,REBATE,MARKETING DISTRIBUTOR AGREEMENT AND CLAIM MANAGEMENT SYSTEM (DACMS),,,,,
,CANCELLATION,MARKETING ADVERTISING,,,,,
,ENTRY ERROR,MARKETING PRICING,,,,,
,CUSTOMER,MARKETING OTHER,,,,,
,QUOTATION,CUSTOMER SERVICE WAREHOUSE,,,,,
,INVOICING,CUSTOMER SERVICE OTHERS(FREIGHT...),,,,,
,FREIGHT,CUSTOMER SERVICE ORDER ENTRY,,,,,
,INFORMATION,CUSTOMER SERVICE REPAIR AND SERVICES,,,,,
,INVENTORY,SALES ANNUAL INCENTIVE PROGRAM (AIP),,,,,
,PRICING,SALES SHARE SHIFT,,,,,
,SERVICES,SALES BRANCH OPENING,,,,,
,SYSTEM,SALES SPECIAL REBATE,,,,,
,SUPPLY,SALES FORECAST,,,,,
,TIMKEN,SALES SCHEDULED ORDER,,,,,
,OTHERS,SALES NON TRB PROGRAM (PNC),,,,,
,,SALES OTHERS,,,,,
